EnsemblID;Name;Sequence;Comments;Phenotype;Chromosome;GeneSymbol;IsInheritanceKnown
ENSG00000116198;Centrosomal protein, 104kD;NotRelevant;;Joubert syndrome 25, 616781 (3), Autosomal recessiveJoubert syndrome 25, 616781 (3);chr1;CEP104, GLYBP, KIAA0562, JBTS25;True
ENSG00000131697;Nephrocystin 4;NotRelevant;;Nephronophthisis 4, 606966 (3), Autosomal recessiveSenior-Loken syndrome 4, 606996 (3);chr1;NPHP4, SLSN4;True
ENSG00000116251;Ribosomal protein L22;NotRelevant;fused with AML1 in t(3;21);chr1;RPL22, EAP;False
ENSG00000187017;Espin, mouse, homolog of;NotRelevant;;Deafness, autosomal recessive 36, 609006 (3), Autosomal recessiveDeafness, neurosensory, without vestibular involvement, autosomal dominant (3);chr1;ESPN;True
ENSG00000171680;Pleckstrin homology domain- and RhoGEF domain-containing protein G5;NotRelevant;;Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessiveSpinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3);chr1;PLEKHG5, KIAA0720, DSMA4, CMTRIC;True
ENSG00000171735;Calmodulin-binding transcription activator 1;NotRelevant;;Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominantCerebellar ataxia, nonprogressive, with mental retardation, 614756 (3);chr1;CAMTA1, KIAA0833, CANPMR;True
ENSG00000049246;Period, Drosophila, homolog of, 3;NotRelevant;mutation identified in 1 FASPS3 family;?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant?Advanced sleep phase syndrome, familial, 3, 616882 (3);chr1;PER3, FASPS3;True
ENSG00000116288;Oncogene DJ-1;NotRelevant;;Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessiveParkinson disease 7, autosomal recessive early-onset, 606324 (3);chr1;DJ1, PARK7;True
ENSG00000162426;Solute carrier family 45, member 1;NotRelevant;;Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessiveIntellectual developmental disorder with neuropsychiatric features, 617532 (3);chr1;SLC45A1, DNB5, IDDNPF;True
ENSG00000142599;RE repeats-encoding gene;NotRelevant;;Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominantNeurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3);chr1;RERE, NEDBEH;True
ENSG00000074800;Enolase-1, alpha;NotRelevant;;Enolase deficiency (1)Enolase deficiency (1);chr1;ENO1, PPH, MPB1;False
ENSG00000049239;Hexose-6-phosphate dehydrogenase;NotRelevant;digenic triallelic mutations with HSD11B1;Cortisone reductase deficiency 1, 604931 (3), Autosomal recessiveCortisone reductase deficiency 1, 604931 (3);chr1;H6PD, GDH, G6PDH, CORTRD1;True
ENSG00000171608;Phosphatidylinositol 3-kinase, catalytic, 110kD, delta;NotRelevant;;Immunodeficiency 14, 615513 (3), Autosomal dominantImmunodeficiency 14, 615513 (3);chr1;PIK3CD, APDS, IMD14;True
ENSG00000173614;Nicotinamide nucleotide adenylyltransferase 1;NotRelevant;;Leber congenital amaurosis 9, 608553 (3), Autosomal recessiveLeber congenital amaurosis 9, 608553 (3);chr1;NMNAT1, NMNAT, PNAT1, LCA9;True
ENSG00000054523;Kinesin family member 1B;NotRelevant;mutation identified in 1 CMT2A1 family;?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant{Neuroblastoma, susceptibility to, 1}, 256700 (3);chr1;KIF1B, CMT2A, CMT2A1, NBLST1;True
ENSG00000142655;Peroxisome biogenesis factor 14;NotRelevant;;Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessivePeroxisome biogenesis disorder 13A (Zellweger), 614887 (3);chr1;PEX14, PBD13A;True
ENSG00000120948;TAR DNA-binding protein;NotRelevant;pseudogenes on 2, 6, 8, 13, 20;Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominantFrontotemporal lobar degeneration, TARDBP-related, 612069 (3);chr1;TARDBP, TDP43, ALS10;True
ENSG00000009724;Mannan-binding lectin serine protease 2;NotRelevant;;MASP2 deficiency, 613791 (3), Autosomal recessiveMASP2 deficiency, 613791 (3);chr1;MASP2;True
ENSG00000198793;Mechanistic target of rapamycin;NotRelevant;;Focal cortical dysplasia, type II, somatic, 607341 (3)Smith-Kingsmore syndrome, 616638 (3);chr1;MTOR, FRAP1, SKS;False
ENSG00000120942;UbiA prenyltransferase domain-containing protein 1;NotRelevant;;Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominantCorneal dystrophy, Schnyder type, 121800 (3);chr1;UBIAD1, TERE1, SCCD;True
ENSG00000116670;Mitotic arrest-deficient 2, S. cerevisiae, homolog-like 2;NotRelevant;mutation identified in 1 FANCV patient; pseudogene on 14q21-q23?Fanconi anemia, complementation group V, 617243 (3);chr1;MAD2L2, MAD2B, FANCV;False
ENSG00000177000;Methylenetetrahydrofolate reductase;NotRelevant;;Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive{Vascular disease, susceptibility to} (3);chr1;MTHFR;True
ENSG00000175206;Natriuretic peptide precursor A;NotRelevant;;Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominantAtrial standstill 2, 615745 (3);chr1;NPPA, PND, ANP, ATFB6, ATRST2;True
ENSG00000083444;Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase);NotRelevant;;Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessiveEhlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3);chr1;PLOD1, LH1, LLH, EDSKCL1;True
ENSG00000116688;Mitofusin 2;NotRelevant;;Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominantHereditary motor and sensory neuropathy VIA, 601152 (3);chr1;MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B;True
ENSG00000048707;Vacuolar protein sorting 13, yeast, homolog of, D;NotRelevant;;Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessiveSpinocerebellar ataxia, autosomal recessive 4, 607317 (3);chr1;VPS13D, SCAR4;True
ENSG00000162438;Chymotrypsin;NotRelevant;;{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant{Pancreatitis, chronic, susceptibility to}, 167800 (3);chr1;CTRC, CLCR;True
ENSG00000186510;Chloride channel, kidney, A;NotRelevant;11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKBBartter syndrome, type 4b, digenic, 613090 (3);chr1;CLCNKA;False
ENSG00000184908;Chloride channel, kidney, B;NotRelevant;unequal crossingover with CLCNKA;Bartter syndrome, type 3, 607364 (3), Autosomal recessiveBartter syndrome, type 4b, digenic, 613090 (3);chr1;CLCNKB;True
ENSG00000142627;Ephrin receptor EphA2;NotRelevant;;Cataract 6, multiple types, 116600 (3), Autosomal dominantCataract 6, multiple types, 116600 (3);chr1;EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6;True
ENSG00000159363;ATPase, type 13A2;NotRelevant;mutation identified in 1 family with CLN12;Kufor-Rakeb syndrome, 606693 (3), Autosomal recessiveSpastic paraplegia 78, autosomal recessive, 617225 (3);chr1;ATP13A2, PARK9, KRPPD, SPG78;True
ENSG00000117118;Succinate dehydrogenase complex, subunit B, iron sulfur (Ip);NotRelevant;1 of 2 polypeptides;Gastrointestinal stromal tumor, 606444 (3)Pheochromocytoma, 171300 (3);chr1;SDHB, SDH2, SDHIP, PGL4;False
ENSG00000142619;Peptidylarginine deiminase, type III;NotRelevant;;Uncombable hair syndrome, 191480 (3), Autosomal recessiveUncombable hair syndrome, 191480 (3);chr1;PADI3, UHS1;True
ENSG00000159339;Peptidylarginine deiminase, type IV;NotRelevant;;{Rheumatoid arthritis, susceptibility to}, 180300 (3){Rheumatoid arthritis, susceptibility to}, 180300 (3);chr1;PADI4, PADI5, PAD;False
ENSG00000276747;Peptidylarginine deiminase, type VI;NotRelevant;;Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessivePreimplantation embryonic lethality 2, 617234 (3);chr1;PADI6, PREMBL2;True
ENSG00000009709;Paired box homeotic gene-7;NotRelevant;fused with FKHR in rhabdomyosarcoma;Rhabdomyosarcoma 2, alveolar, 268220 (3), Autosomal recessiveRhabdomyosarcoma 2, alveolar, 268220 (3);chr1;PAX7, RMS2;True
ENSG00000159423;Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase);NotRelevant;;Hyperprolinemia, type II, 239510 (3), Autosomal recessiveHyperprolinemia, type II, 239510 (3);chr1;ALDH4A1, ALDH4, P5CDH;True
ENSG00000127463;Endoplasmic reticulum membrane protein complex, subunit 1;NotRelevant;;Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessiveCerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3);chr1;EMC1, KIAA0090, CAVIPMR;True
ENSG00000188257;Phospholipase A2, group IIA, platelets, synovial fluid;NotRelevant;;{Colorectal cancer}, 114500 (3), Autosomal dominant{Colorectal cancer}, 114500 (3);chr1;PLA2G2A, PLA2B, PLA2L, MOM1;True
ENSG00000127472;Phospholipase A2, group V;NotRelevant;;[Fleck retina, familial benign], 228980 (3), Autosomal recessive[Fleck retina, familial benign], 228980 (3);chr1;PLA2G5, FRFB;True
ENSG00000158828;PTEN-induced putative kinase 1;NotRelevant;;Parkinson disease 6, early onset, 605909 (3), Autosomal recessiveParkinson disease 6, early onset, 605909 (3);chr1;PINK1, PARK6;True
ENSG00000244038;Dolichyl-diphosphooligosaccharide-protein glycosyltransferase;NotRelevant;mutation (cmpd het) identified in 1 CDG1R patient;?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive?Congenital disorder of glycosylation, type Ir, 614507 (3);chr1;DDOST, OST, OST48, CDG1R;True
ENSG00000117298;Endothelin converting enzyme 1;NotRelevant;mutation identified in 1 HCAD patient;?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant{Hypertension, essential, susceptibility to}, 145500 (3);chr1;ECE1;True
ENSG00000162551;Alkaline phosphatase, liver/bone/kidney;NotRelevant;;Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominantOdontohypophosphatasia, 146300 (3);chr1;ALPL, HOPS, TNSALP;True
ENSG00000142798;Heparan sulfate proteoglycan of basement membrane (perlecan);NotRelevant;;Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessiveSchwartz-Jampel syndrome, type 1, 255800 (3);chr1;HSPG2, PLC, SJS, SJA, SJS1;True
ENSG00000070831;Cell division cycle 42 (GTP-binding protein, 25kD);NotRelevant;;Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominantTakenouchi-Kosaki syndrome, 616737 (3);chr1;CDC42, TKS;True
ENSG00000162552;Wingless-type MMTV integration site family, member 4;NotRelevant;mutation identified in 1 SERKAL family;Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominantMullerian aplasia and hyperandrogenism, 158330 (3);chr1;WNT4, SERKAL;True
ENSG00000173372;Complement component 1, q subcomponent, A chain;NotRelevant;;C1q deficiency, 613652 (3), Autosomal recessiveC1q deficiency, 613652 (3);chr1;C1QA;True
ENSG00000159189;Complement component 1, q subcomponent, C chain;NotRelevant;;C1q deficiency, 613652 (3), Autosomal recessiveC1q deficiency, 613652 (3);chr1;C1QC, C1QG;True
ENSG00000173369;Complement component 1, q subcomponent, B chain;NotRelevant;;C1q deficiency, 613652 (3), Autosomal recessiveC1q deficiency, 613652 (3);chr1;C1QB;True
ENSG00000133216;eph tyrosine kinase 3 (ephrin receptor EphB2);NotRelevant;;{Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3){Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3);chr1;EPHB2, EPHT3, DRT, ERK, PCBC, CAPB;False
ENSG00000004487;Lysine-specific demethylase 1A;NotRelevant;;Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominantCleft palate, psychomotor retardation, and distinctive facial features, 616728 (3);chr1;KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF;True
ENSG00000142676;Ribosomal protein L11;NotRelevant;;Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominantDiamond-Blackfan anemia 7, 612562 (3);chr1;RPL11, DBA7;True
ENSG00000117308;UDP galactose-4-epimerase;NotRelevant;;Galactose epimerase deficiency, 230350 (3), Autosomal recessiveGalactose epimerase deficiency, 230350 (3);chr1;GALE;True
ENSG00000117305;3-hydroxy-3-methylglutaryl-Coenzyme A lyase;NotRelevant;;HMG-CoA lyase deficiency, 246450 (3), Autosomal recessiveHMG-CoA lyase deficiency, 246450 (3);chr1;HMGCL;True
ENSG00000179163;Fucosidase, alpha-L- 1, tissue;NotRelevant;8cM distal to RH; pseudogene on 2q31-q32Fucosidosis, 230000 (3);chr1;FUCA1;False
ENSG00000158055;Grainyhead-like 3;NotRelevant;;Van der Woude syndrome 2, 606713 (3), Autosomal dominantVan der Woude syndrome 2, 606713 (3);chr1;GRHL3, SOM, TFCP2L4, VWS2;True
ENSG00000187010;Rhesus system D polypeptide;NotRelevant;;[Rh-negative blood type] (3)[Rh-negative blood type] (3);chr1;RHD;False
ENSG00000188672;Rhesus system C and E polypeptides;NotRelevant;?order: C-E-D;[Blood group, Rhesus] (3)[Blood group, Rhesus] (3);chr1;RHCE, RHNA;False
ENSG00000157978;Low density lipoprotein receptor adaptor protein 1;NotRelevant;;Hypercholesterolemia, familial, autosomal recessive, 603813 (3), Autosomal recessiveHypercholesterolemia, familial, autosomal recessive, 603813 (3);chr1;LDLRAP1, ARH, FHCB2, FHCB1;True
ENSG00000162430;Selenoprotein N;NotRelevant;;Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessiveMyopathy, congenital, with fiber-type disproportion, 255310 (3);chr1;SELENON, SEPN1, SELN, RSMD1, CFTD;True
ENSG00000158014;Solute carrier family 30 (zinc transporter), member 2;NotRelevant;;Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominantZinc deficiency, transient neonatal, 608118 (3);chr1;SLC30A2, ZNT2, TNZD;True
ENSG00000117682;Dehydrodolichyl diphosphate synthase;NotRelevant;mutation identified in 1 CDG1BB patient;?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessiveRetinitis pigmentosa 59, 613861 (3);chr1;DHDDS, HDS, RP59, DEDSM;True
ENSG00000117713;AT rich interactive domain 1A, SWI-like;NotRelevant;;Coffin-Siris syndrome 2, 614607 (3), Autosomal dominantCoffin-Siris syndrome 2, 614607 (3);chr1;ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2;True
ENSG00000060642;Phosphatidylinositol glycan, class V;NotRelevant;;Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessiveHyperphosphatasia with mental retardation syndrome 1, 239300 (3);chr1;PIGV, HPMRS1;True
ENSG00000131910;Nuclear receptor subfamily 0, group B, member 2;NotRelevant;;Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Autosomal dominant, MultifactorialObesity, mild, early-onset, 601665 (3);chr1;NR0B2, SHP;True
ENSG00000175707;Keratinocyte differentiation factor 1;NotRelevant;mutation identified in 1 ECTD12 family;?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3);chr1;KDF1, C1orf172, ECTD12;True
ENSG00000090020;Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive);NotRelevant;mutation identified in 1 LIKNS family;?Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive?Lichtenstein-Knorr syndrome, 616291 (3);chr1;SLC9A1, NHE1, APNH, LIKNS;True
ENSG00000142748;Ficolin 3;NotRelevant;;Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessiveImmunodeficiency due to ficolin 3 deficiency, 613860 (3);chr1;FCN3, HAKA1;True
ENSG00000126705;AT-hook DNA-binding motif-containing protein 1;NotRelevant;;Xia-Gibbs syndrome, 615829 (3), Autosomal dominantXia-Gibbs syndrome, 615829 (3);chr1;AHDC1, MRD25;True
ENSG00000198492;YTH N6-methyladenosine RNA-binding protein 2;NotRelevant;fused with AML1 in t(1;21);chr1;YTHDF2;False
ENSG00000159023;Erythrocyte surface protein band 4.1;NotRelevant;;Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominantElliptocytosis-1, 611804 (3);chr1;EPB41, EL1;True
ENSG00000116353;Mitochondrial trans-2-enoyl-CoA reductase;NotRelevant;;Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessiveDystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3);chr1;MECR, NRBF1, DYTOABG;True
ENSG00000162512;Syndecan 3;NotRelevant;;{Obesity, association with}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial{Obesity, association with}, 601665 (3);chr1;SDC3, SYND3, SDCN;True
ENSG00000134644;Pumilio, Drosophila, homolog of, 1;NotRelevant;;Spinocerebellar ataxia 47, 617931 (3), Autosomal dominantSpinocerebellar ataxia 47, 617931 (3);chr1;PUM1, KIAA0099, SCA47;True
ENSG00000160050;Coiled-coil domain-containing protein 28B;NotRelevant;;{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive{Bardet-Biedl syndrome 1, modifier of}, 209900 (3);chr1;CCDC28B, MGC1203;True
ENSG00000182866;Lymphocyte-specific protein tyrosine kinase;NotRelevant;LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient?Immunodeficiency 22, 615758 (3);chr1;LCK, IMD22;False
ENSG00000134684;Tyrosyl-tRNA synthetase;NotRelevant;;Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominantCharcot-Marie-Tooth disease, dominant intermediate C, 608323 (3);chr1;YARS, CMTDIC, TYRRS, YTS, YRS;True
ENSG00000121905;Hippocalcin, 23kD, Ca2+-binding protein;NotRelevant;;Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessiveDystonia 2, torsion, autosomal recessive, 224500 (3);chr1;HPCA, DYT2;True
ENSG00000004455;Adenylate kinase-2, mitochondrial;NotRelevant;;Reticular dysgenesis, 267500 (3), Autosomal recessiveReticular dysgenesis, 267500 (3);chr1;AK2;True
ENSG00000189433;Gap junction protein, beta-4;NotRelevant;;Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominantErythrokeratodermia variabilis et progressiva 2, 617524 (3);chr1;GJB4, CX30.3, EKVP2;True
ENSG00000188910;Gap junction protein, beta-3;NotRelevant;same YAC as GJA4;Deafness, autosomal dominant 2B, 612644 (3), Autosomal dominantErythrokeratodermia variabilis et progressiva 1, 133200 (3);chr1;GJB3, CX31, DFNA2B, EKVP1;True
ENSG00000116863;ADP-ribosylhydrolase-like 2;NotRelevant;;Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessiveNeurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3);chr1;ADPRHL2, ARH3, CONDSIAS;True
ENSG00000171812;Collagen VIII, alpha-2 polypeptide;NotRelevant;;Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominantCorneal dystrophy, posterior polymorphous 2, 609140 (3);chr1;COL8A2, FECD1, PPCD2;True
ENSG00000119535;Colony-stimulating factor-3 receptor (granulocyte);NotRelevant;;Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessiveNeutropenia, severe congenital, 7, autosomal recessive, 617014 (3);chr1;CSF3R, GCSFR, SCN7;True
ENSG00000163877;SMAD nuclear interacting protein 1;NotRelevant;;Psychomotor retardation, epilepsy, and craniofacial dysmorphism, 614501 (3), Autosomal recessivePsychomotor retardation, epilepsy, and craniofacial dysmorphism, 614501 (3);chr1;SNIP1, PMRED;True
ENSG00000169218;Roof plate-specific spondin, mouse, homolog of, 1;NotRelevant;;Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessivePalmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3);chr1;RSPO1, FLJ40906;True
ENSG00000043514;tRNA isopentenyltransferase 1;NotRelevant;;Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessiveCombined oxidative phosphorylation deficiency 35, 617873 (3);chr1;TRIT1, IPT, COXPD35;True
ENSG00000168389;Major facilitator superfamily domain-containing protein 2A;NotRelevant;;Microcephaly 15, primary, autosomal recessive, 616486 (3), Autosomal recessiveMicrocephaly 15, primary, autosomal recessive, 616486 (3);chr1;MFSD2A, MCPH15;True
ENSG00000131238;Palmitoyl-protein thioesterase 1;NotRelevant;;Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessiveCeroid lipofuscinosis, neuronal, 1, 256730 (3);chr1;PPT1, CLN1;True
ENSG00000084073;Zinc metalloproteinase STE24;NotRelevant;;Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessiveRestrictive dermopathy, lethal, 275210 (3);chr1;ZMPSTE24, FACE1, STE24, MADB;True
ENSG00000049089;Collagen IX, alpha-2 polypeptide;NotRelevant;mutation identified in1 STL5 family;Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominantEpiphyseal dysplasia, multiple, 2, 600204 (3);chr1;COL9A2, EDM2, STL5;True
ENSG00000117013;Potassium voltage-gated channel, KQT-like subfamily, member 4;NotRelevant;;Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominantDeafness, autosomal dominant 2A, 600101 (3);chr1;KCNQ4, DFNA2A;True
ENSG00000171793;Cytidine 5'-triphosphate synthetase 1;NotRelevant;;Immunodeficiency 24, 615897 (3), Autosomal recessiveImmunodeficiency 24, 615897 (3);chr1;CTPS1, CTPS, IMD24;True
ENSG00000127125;Phosphopantothenoylcysteine synthetase;NotRelevant;;Cardiomyopathy, dilated, 2C, 618189 (3), Autosomal recessiveCardiomyopathy, dilated, 2C, 618189 (3);chr1;PPCS, CMD2C;True
ENSG00000164007;Claudin 19;NotRelevant;;Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessiveHypomagnesemia 5, renal, with ocular involvement, 248190 (3);chr1;CLDN19, HOMG5;True
ENSG00000117385;Prolyl 3-hydroxylase 1;NotRelevant;;Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessiveOsteogenesis imperfecta, type VIII, 610915 (3);chr1;P3H1, LEPRE1, GROS1, OI8;True
ENSG00000164010;Erythroblast membrane-associated protein;NotRelevant;;[Blood group, Radin], 111620 (3)[Blood group, Scianna system], 111750 (3);chr1;ERMAP, SC, RD;False
ENSG00000117394;Solute carrier family 2 (facilitated glucose transporter), member 1;NotRelevant;probably in 1p33;Dystonia 9, 601042 (3), Autosomal dominant{Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3);chr1;SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN;True
ENSG00000117400;Myeloproliferative leukemia virus, homolog of;NotRelevant;;Myelofibrosis with myeloid metaplasia, somatic, 254450 (3)Thrombocytopenia, congenital amegakaryocytic, 604498 (3);chr1;MPL, TPOR, MPLV, THCYT2;False
ENSG00000198198;Seizure threshold 2, mouse, homolog of;NotRelevant;;Epileptic encephalopathy, early infantile, 18, 615476 (3), Autosomal recessiveEpileptic encephalopathy, early infantile, 18, 615476 (3);chr1;SZT2, KIAA0467, EIEE18;True
ENSG00000142949;Protein tyrosine phosphatase, receptor type, f polypeptide;NotRelevant;mutation identified in 1 BNAH2 family;?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3);chr1;PTPRF, LAR, BNAH2;True
ENSG00000126091;ST3 beta-galactoside alpha-2,3-sialyltransferase 3;NotRelevant;mutation identified in 1 EIEE15 family;?Epileptic encephalopathy, early infantile, 15, 615006 (3), Autosomal recessiveMental retardation, autosomal recessive 12, 611090 (3);chr1;ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15;True
ENSG00000196517;Solute carrier family 6 (neurotransmitter transporter, glycine), member 9;NotRelevant;;Glycine encephalopathy with normal serum glycine, 617301 (3), Autosomal recessiveGlycine encephalopathy with normal serum glycine, 617301 (3);chr1;SLC6A9, GLYT1, GCENSG;True
